iter	Passed	Remaining
0	302	302438
1	304	151950
2	306	101792
3	307	76653
4	309	61624
5	312	51701
6	313	44520
7	315	39163
8	317	34995
9	319	31631
10	321	28910
11	324	26740
12	326	24803
13	328	23106
14	329	21644
15	330	20355
16	332	19223
17	333	18212
18	335	17309
19	337	16514
20	340	15854
21	341	15185
22	342	14569
23	344	14006
24	345	13487
25	347	13006
26	348	12565
27	350	12169
28	353	11835
29	356	11524
30	358	11197
31	360	10916
32	362	10617
33	364	10345
34	365	10077
35	368	9857
36	369	9628
37	371	9408
38	373	9193
39	374	8989
40	375	8793
41	377	8609
42	378	8431
43	380	8262
44	383	8134
45	384	7979
46	386	7834
47	387	7691
48	389	7554
49	390	7424
50	392	7296
51	393	7174
52	394	7055
53	398	6973
54	399	6864
55	401	6761
56	402	6660
57	403	6559
58	405	6463
59	406	6368
60	407	6279
61	409	6191
62	410	6106
63	412	6026
64	414	5961
65	415	5884
66	417	5809
67	418	5737
68	420	5668
69	423	5621
70	426	5574
71	427	5516
72	429	5451
73	430	5390
74	432	5330
75	433	5273
76	435	5216
77	436	5158
78	437	5102
79	438	5047
80	442	5024
81	444	4976
82	445	4918
83	447	4883
84	449	4837
85	450	4788
86	451	4742
87	453	4696
88	456	4673
89	458	4630
90	459	4588
91	460	4548
92	462	4507
93	463	4467
94	464	4429
95	466	4390
96	467	4352
97	468	4316
98	470	4280
99	471	4245
100	473	4217
101	475	4184
102	476	4151
103	478	4118
104	479	4086
105	480	4055
106	482	4024
107	485	4010
108	487	3981
109	488	3953
110	490	3925
111	491	3896
112	492	3868
113	494	3839
114	495	3813
115	496	3787
116	499	3771
117	501	3746
118	502	3721
119	504	3696
120	505	3671
121	506	3645
122	507	3621
123	509	3598
124	511	3581
125	514	3566
126	515	3543
127	516	3521
128	518	3499
129	519	3477
130	521	3456
131	522	3434
132	523	3413
133	524	3392
134	526	3372
135	529	3366
136	531	3346
137	532	3329
138	534	3309
139	535	3290
140	536	3271
141	537	3250
142	539	3232
143	540	3214
144	545	3218
145	547	3202
146	551	3200
147	553	3188
148	562	3214
149	564	3201
150	568	3197
151	571	3188
152	575	3187
153	577	3174
154	580	3162
155	582	3149
156	584	3140
157	599	3194
158	601	3179
159	603	3168
160	604	3149
161	607	3144
162	609	3130
163	611	3119
164	613	3104
165	614	3088
166	616	3073
167	618	3064
168	624	3072
169	628	3066
170	629	3051
171	630	3037
172	632	3023
173	633	3009
174	638	3012
175	640	3000
176	642	2988
177	644	2975
178	645	2961
179	647	2947
180	648	2934
181	653	2937
182	655	2926
183	657	2917
184	659	2903
185	660	2890
186	661	2877
187	663	2864
188	664	2851
189	670	2856
190	672	2847
191	673	2835
192	675	2822
193	676	2810
194	678	2799
195	679	2787
196	685	2793
197	687	2784
198	688	2772
199	690	2761
200	691	2749
201	693	2738
202	694	2727
203	699	2730
204	701	2720
205	703	2710
206	704	2698
207	705	2687
208	707	2676
209	708	2665
210	709	2654
211	713	2652
212	715	2642
213	716	2632
214	718	2621
215	719	2612
216	721	2601
217	724	2597
218	728	2597
219	730	2589
220	732	2581
221	735	2576
222	736	2566
223	738	2557
224	739	2547
225	742	2542
226	744	2534
227	745	2524
228	746	2514
229	748	2506
230	750	2497
231	751	2486
232	752	2477
233	753	2467
234	755	2457
235	758	2454
236	759	2445
237	760	2436
238	762	2428
239	763	2419
240	765	2410
241	766	2401
242	768	2392
243	769	2384
244	772	2381
245	774	2373
246	775	2365
247	777	2357
248	778	2348
249	780	2340
250	781	2331
251	782	2323
252	784	2315
253	785	2306
254	788	2302
255	789	2294
256	790	2286
257	792	2278
258	793	2270
259	795	2263
260	796	2255
261	798	2248
262	799	2240
263	802	2236
264	803	2229
265	805	2221
266	806	2214
267	807	2206
268	809	2199
269	810	2191
270	812	2184
271	813	2176
272	814	2169
273	819	2172
274	821	2165
275	822	2158
276	824	2151
277	825	2144
278	827	2137
279	828	2130
280	829	2123
281	833	2121
282	834	2115
283	836	2109
284	838	2103
285	839	2096
286	841	2089
287	842	2083
288	843	2076
289	846	2072
290	848	2066
291	849	2059
292	851	2053
293	852	2047
294	854	2041
295	855	2034
296	857	2028
297	858	2022
298	861	2020
299	863	2013
300	864	2007
301	865	2001
302	867	1995
303	868	1989
304	870	1983
305	871	1977
306	873	1971
307	876	1968
308	877	1962
309	879	1956
310	880	1950
311	881	1944
312	883	1938
313	884	1932
314	885	1926
315	887	1920
316	888	1914
317	892	1913
318	893	1907
319	894	1901
320	895	1894
321	897	1889
322	898	1882
323	899	1877
324	901	1871
325	902	1865
326	903	1860
327	906	1856
328	907	1850
329	908	1845
330	911	1842
331	912	1836
332	914	1831
333	915	1825
334	916	1820
335	919	1817
336	921	1813
337	923	1808
338	925	1804
339	926	1799
340	928	1794
341	929	1788
342	931	1783
343	933	1781
344	935	1776
345	937	1771
346	938	1766
347	939	1761
348	941	1755
349	942	1750
350	944	1745
351	945	1740
352	948	1738
353	950	1733
354	951	1728
355	953	1724
356	954	1719
357	956	1714
358	957	1709
359	959	1705
360	960	1700
361	961	1694
362	963	1690
363	964	1685
364	966	1680
365	967	1676
366	969	1671
367	970	1666
368	971	1661
369	973	1656
370	974	1652
371	977	1650
372	979	1646
373	980	1641
374	982	1636
375	983	1632
376	984	1627
377	986	1622
378	987	1618
379	988	1613
380	991	1611
381	993	1607
382	995	1603
383	996	1598
384	998	1594
385	999	1589
386	1000	1585
387	1002	1580
388	1003	1575
389	1008	1576
390	1010	1573
391	1011	1569
392	1014	1566
393	1015	1561
394	1016	1557
395	1018	1553
396	1019	1549
397	1023	1547
398	1024	1543
399	1026	1539
400	1027	1535
401	1028	1530
402	1030	1526
403	1031	1522
404	1032	1517
405	1034	1513
406	1037	1511
407	1038	1507
408	1039	1502
409	1041	1498
410	1042	1494
411	1044	1490
412	1045	1485
413	1046	1481
414	1048	1477
415	1049	1473
416	1052	1471
417	1053	1467
418	1055	1463
419	1056	1459
420	1058	1455
421	1059	1451
422	1060	1447
423	1062	1443
424	1063	1438
425	1066	1437
426	1068	1433
427	1069	1429
428	1070	1425
429	1072	1421
430	1073	1417
431	1074	1412
432	1076	1409
433	1077	1405
434	1078	1401
435	1082	1400
436	1083	1396
437	1085	1392
438	1086	1388
439	1088	1384
440	1089	1380
441	1090	1376
442	1092	1373
443	1093	1369
444	1099	1370
445	1102	1369
446	1103	1365
447	1105	1361
448	1106	1357
449	1107	1353
450	1110	1352
451	1112	1348
452	1113	1344
453	1115	1341
454	1116	1337
455	1118	1334
456	1119	1330
457	1121	1326
458	1122	1322
459	1123	1319
460	1125	1315
461	1126	1312
462	1128	1309
463	1130	1305
464	1132	1302
465	1133	1299
466	1135	1295
467	1136	1292
468	1139	1290
469	1141	1286
470	1142	1283
471	1143	1279
472	1145	1276
473	1146	1272
474	1148	1268
475	1149	1265
476	1150	1261
477	1153	1259
478	1155	1257
479	1156	1253
480	1158	1250
481	1159	1246
482	1161	1243
483	1162	1239
484	1164	1236
485	1165	1232
486	1166	1229
487	1170	1227
488	1171	1224
489	1172	1220
490	1173	1216
491	1175	1213
492	1176	1209
493	1177	1206
494	1179	1202
495	1180	1199
496	1181	1196
497	1183	1192
498	1184	1189
499	1186	1186
500	1188	1183
501	1189	1180
502	1191	1177
503	1192	1173
504	1194	1170
505	1198	1169
506	1200	1167
507	1202	1164
508	1205	1162
509	1206	1159
510	1207	1155
511	1209	1152
512	1213	1151
513	1214	1148
514	1215	1144
515	1217	1141
516	1218	1138
517	1219	1135
518	1221	1131
519	1222	1128
520	1224	1125
521	1227	1123
522	1228	1120
523	1229	1117
524	1231	1114
525	1232	1110
526	1234	1107
527	1235	1104
528	1236	1101
529	1238	1098
530	1239	1094
531	1243	1093
532	1244	1090
533	1246	1087
534	1247	1084
535	1248	1081
536	1250	1078
537	1251	1074
538	1253	1071
539	1254	1068
540	1257	1067
541	1259	1064
542	1260	1061
543	1262	1057
544	1263	1054
545	1264	1051
546	1265	1048
547	1267	1045
548	1268	1042
549	1271	1040
550	1273	1037
551	1275	1034
552	1276	1031
553	1277	1028
554	1279	1025
555	1281	1023
556	1282	1020
557	1284	1017
558	1289	1017
559	1291	1014
560	1293	1011
561	1294	1009
562	1296	1006
563	1297	1003
564	1299	1000
565	1302	998
566	1303	995
567	1305	992
568	1306	989
569	1308	986
570	1309	983
571	1310	980
572	1312	977
573	1313	974
574	1314	971
575	1317	970
576	1319	967
577	1320	963
578	1321	960
579	1322	957
580	1324	955
581	1325	951
582	1326	948
583	1328	946
584	1329	943
585	1332	941
586	1334	938
587	1335	935
588	1337	933
589	1338	930
590	1340	927
591	1341	924
592	1342	921
593	1344	918
594	1347	917
595	1349	914
596	1351	912
597	1354	910
598	1355	907
599	1356	904
600	1358	901
601	1359	898
602	1361	896
603	1363	894
604	1365	891
605	1366	888
606	1368	885
607	1370	883
608	1371	880
609	1372	877
610	1377	877
611	1379	874
612	1380	871
613	1382	869
614	1384	866
615	1386	864
616	1389	862
617	1390	859
618	1392	857
619	1394	854
620	1395	851
621	1396	848
622	1398	846
623	1399	843
624	1401	840
625	1404	838
626	1405	836
627	1406	833
628	1408	830
629	1410	828
630	1411	825
631	1413	823
632	1415	820
633	1416	817
634	1427	820
635	1428	817
636	1430	815
637	1431	812
638	1433	809
639	1436	807
640	1437	805
641	1438	802
642	1440	799
643	1441	796
644	1442	794
645	1444	791
646	1445	788
647	1447	786
648	1450	784
649	1451	781
650	1453	778
651	1454	776
652	1455	773
653	1457	770
654	1458	768
655	1459	765
656	1461	762
657	1462	760
658	1466	758
659	1467	755
660	1468	753
661	1469	750
662	1471	747
663	1472	745
664	1474	742
665	1475	740
666	1484	741
667	1488	739
668	1489	737
669	1490	734
670	1492	731
671	1495	730
672	1497	727
673	1499	725
674	1500	722
675	1502	720
676	1503	717
677	1507	716
678	1510	713
679	1511	711
680	1513	708
681	1514	706
682	1515	703
683	1517	700
684	1518	698
685	1519	695
686	1521	693
687	1523	690
688	1524	688
689	1526	685
690	1527	683
691	1528	680
692	1530	677
693	1531	675
694	1534	673
695	1536	671
696	1537	668
697	1539	665
698	1540	663
699	1541	660
700	1543	658
701	1544	655
702	1546	653
703	1550	651
704	1551	649
705	1553	646
706	1554	644
707	1555	641
708	1557	639
709	1558	636
710	1560	634
711	1561	631
712	1565	630
713	1567	628
714	1569	625
715	1571	623
716	1573	620
717	1574	618
718	1576	615
719	1577	613
720	1580	611
721	1582	609
722	1583	606
723	1585	604
724	1587	601
725	1588	599
726	1590	597
727	1591	594
728	1596	593
729	1598	591
730	1599	588
731	1601	586
732	1602	583
733	1604	581
734	1605	578
735	1607	576
736	1610	574
737	1611	572
738	1613	569
739	1615	567
740	1616	565
741	1617	562
742	1619	560
743	1620	557
744	1621	555
745	1624	553
746	1625	550
747	1627	548
748	1628	545
749	1629	543
750	1631	540
751	1632	538
752	1633	535
753	1635	533
754	1636	531
755	1639	529
756	1641	526
757	1642	524
758	1644	522
759	1645	519
760	1647	517
761	1648	514
762	1649	512
763	1651	510
764	1656	508
765	1658	506
766	1659	504
767	1660	501
768	1662	499
769	1663	496
770	1664	494
771	1666	492
772	1667	489
773	1670	487
774	1671	485
775	1674	483
776	1675	480
777	1677	478
778	1678	476
779	1679	473
780	1682	471
781	1684	469
782	1688	467
783	1689	465
784	1691	463
785	1692	460
786	1694	458
787	1695	456
788	1698	454
789	1700	451
790	1701	449
791	1703	447
792	1704	444
793	1705	442
794	1707	440
795	1708	437
796	1710	435
797	1713	433
798	1714	431
799	1716	429
800	1717	426
801	1719	424
802	1720	422
803	1721	419
804	1723	417
805	1724	415
806	1727	413
807	1729	410
808	1730	408
809	1732	406
810	1733	403
811	1734	401
812	1736	399
813	1737	397
814	1739	394
815	1742	392
816	1744	390
817	1745	388
818	1746	386
819	1748	383
820	1749	381
821	1751	379
822	1752	376
823	1754	374
824	1757	372
825	1758	370
826	1760	368
827	1761	365
828	1762	363
829	1763	361
830	1765	358
831	1766	356
832	1767	354
833	1769	352
834	1770	349
835	1774	348
836	1776	345
837	1780	344
838	1781	341
839	1782	339
840	1784	337
841	1785	335
842	1787	332
843	1789	330
844	1790	328
845	1792	326
846	1793	324
847	1795	321
848	1796	319
849	1798	317
850	1801	315
851	1802	313
852	1804	310
